timestamp,total,javascript,jit,images,layers,page,other
3.5017214583349414,55230464,7458275,1294336,0,0,37138973,9338880
4.001721458334941,79462400,7050416,1294336,0,0,61746000,9371648
4.501844624999649,47185920,7050416,344064,0,0,30403408,9388032
5.00238249999893,79577088,12657104,1310720,0,0,52633136,12976128
5.503075125001487,107855872,22357520,1703936,0,0,70490608,13303808
6.0077446666691685,130695168,35155783,1785856,0,0,80318649,13434880
6.508085875000688,148586496,42677844,2064384,0,0,90360236,13484032
7.0130930000013905,169050112,44905155,2113536,0,0,108465469,13565952
7.518109958335117,192593920,51387816,2162688,0,0,128639576,10403840
8.023114125000575,212271104,56930046,2179072,0,0,142676226,10485760
8.523884708334663,232816640,63429766,2211840,0,0,156623738,10551296
9.028895125000417,263159808,72200167,3145728,0,0,177180697,10633216
9.533902416667843,278872064,78673885,3162112,0,0,186337315,10698752
10.035794083334622,302055424,88481339,3178496,0,0,196403653,13991936
10.540802750001603,324141056,98450184,3194880,0,0,208422136,14073856
11.042021749999549,343851008,108257898,3194880,0,0,218258838,14139392
11.547034250001161,364642304,108900770,3194880,0,0,238341726,14204928
12.052041416667635,386023424,123315566,3211264,0,0,245275282,14221312
12.552888624999468,410107904,130461241,3260416,0,0,262099399,14286848
13.0579000416692,428032000,132807363,3260416,0,0,277611837,14352384
13.562915208334744,496025600,98072221,3309568,0,0,383469923,11173888
14.064612500002113,784007168,140541442,3309568,0,0,628965886,11190272
14.569624291667424,738934784,140590594,3309568,0,0,583844350,11190272
15.07463483333413,963215360,140965156,3309568,0,0,807733980,11206656
15.578682291667064,927203328,148820560,3342336,0,0,763801008,11239424
16.080222541666444,516751360,158536265,3375104,0,0,343551415,11288576
16.583047166666802,534872064,170463093,3407872,0,0,346419339,14581760
17.08805504166594,555024384,180431735,3440640,0,0,356553865,14598144
17.5930637916681,581484544,190349756,3473408,0,0,373063236,14598144
18.097126250002475,601620480,201954449,3489792,0,0,381545327,14630912
18.599890041667095,637534208,210643731,3538944,0,0,410113261,13238272
19.101371250002558,642940928,214388087,3538944,0,0,410382985,14630912
19.606377000000066,622804992,214388087,3538944,0,0,390247049,14630912
20.111384541665757,621871104,214388087,3538944,0,0,389313161,14630912
20.61639012500018,621789184,214388087,3538944,0,0,389231241,14630912
21.12139866666621,618283008,214388087,3538944,0,0,385725065,14630912
21.622067291667918,618299392,214388087,3538944,0,0,385741449,14630912
22.125718458333722,618233856,214388087,3538944,0,0,385757833,14548992
22.6267368333356,618250240,214388087,3538944,0,0,385790601,14532608
23.131290708333836,618201088,214388087,3538944,0,0,385741449,14532608
23.636047125000914,744833024,144616030,3538944,0,0,582145442,14532608
24.13718987500033,1059749888,199496104,3522560,0,0,842280536,14450688
24.637813916666346,967753728,199594408,3522560,0,0,750186072,14450688
25.142827833333286,860291072,199594408,3522560,0,0,642723416,14450688
25.647837125001388,1231011840,199594408,3522560,0,0,1013444184,14450688
26.15284520833302,920748032,199594408,3522560,0,0,703180376,14450688
26.65785337499983,618577920,199594408,3522560,0,0,401010264,14450688
27.16286341666637,618594304,199594408,3522560,0,0,401026648,14450688
27.664219291666086,618594304,199594408,3522560,0,0,401026648,14450688
28.164413124999555,618594304,199594408,3522560,0,0,401026648,14450688
28.66942050000216,618332160,199594408,3522560,0,0,400862808,14352384
29.171261041668913,617775104,199594408,3522560,0,0,400404056,14254080
29.67189737499939,617693184,199594408,3522560,0,0,400322136,14254080
30.176908249999542,617512960,199594408,3522560,0,0,400141912,14254080
30.677392791665625,617512960,199594408,3522560,0,0,400141912,14254080
31.182403000002523,617512960,199594408,3522560,0,0,400141912,14254080
31.687411750001047,617512960,199594408,3522560,0,0,400141912,14254080
32.19241800000236,617529344,199594408,3522560,0,0,400158296,14254080
32.69356125000195,617529344,199594408,3522560,0,0,400158296,14254080
33.19857258333286,617529344,199594408,3522560,0,0,400158296,14254080
33.70358220833441,757809152,128728806,3522560,0,0,611303706,14254080
34.20859183333232,994443264,134906511,3522560,0,0,841743729,14270464
34.709479166667734,1038319616,134906511,3522560,0,0,885620081,14270464
35.21000804166761,907935744,134906511,3522560,0,0,755236209,14270464
35.71045329166736,1168359424,134906511,3522560,0,0,1015659889,14270464
36.21546870833481,593543168,134906511,3522560,0,0,440843633,14270464
36.72047741666756,593559552,134906511,3522560,0,0,440860017,14270464
37.22548987499977,593559552,134906511,3522560,0,0,440860017,14270464
37.72652662499968,593559552,134906511,3522560,0,0,440860017,14270464
38.23153433333573,593559552,134906511,3522560,0,0,440860017,14270464
38.73654062499918,593559552,134906511,3522560,0,0,440860017,14270464
39.24154770833411,593543168,134906511,3522560,0,0,440843633,14270464
39.74655683333549,593559552,134906511,3522560,0,0,440860017,14270464
40.251562916666444,593559552,134906511,3522560,0,0,440860017,14270464
40.751825875002396,593559552,134906511,3522560,0,0,440860017,14270464
41.252575666669145,593559552,134906511,3522560,0,0,440860017,14270464
41.75758070833399,593559552,134906511,3522560,0,0,440860017,14270464
42.25987741666904,593559552,134906511,3522560,0,0,440860017,14270464
42.76082258333554,593575936,134906511,3522560,0,0,440876401,14270464
43.26100783333459,593444864,134906511,3522560,0,0,440745329,14270464
43.766018416667066,853344256,130271825,3522560,0,0,705279407,14270464
44.271024333334935,1019494400,134267022,3522560,0,0,867434354,14270464
44.77603108333278,1041170432,134267022,3522560,0,0,889110386,14270464
45.27622604166754,911392768,134267022,3522560,0,0,759332722,14270464
45.77658229166627,1162133504,134267022,3522560,0,0,1010057074,14286848
46.276758666666865,593133568,134267022,3522560,0,0,441073522,14270464
46.776915624999674,593149952,134267022,3522560,0,0,441089906,14270464
47.28192345833304,593133568,134267022,3522560,0,0,441073522,14270464
47.78693483333336,593149952,134267022,3522560,0,0,441089906,14270464
48.29194216666656,593133568,134267022,3522560,0,0,441073522,14270464
48.79694887500227,593149952,134267022,3522560,0,0,441089906,14270464
49.30195637500219,593166336,134267022,3522560,0,0,441106290,14270464
49.80228524999984,593166336,134267022,3522560,0,0,441106290,14270464
50.30729437500122,593166336,134267022,3522560,0,0,441106290,14270464
50.80919954166893,593166336,134267022,3522560,0,0,441106290,14270464
51.3093948333335,593166336,134267022,3522560,0,0,441106290,14270464
51.80994379166805,593166336,134267022,3522560,0,0,441106290,14270464
52.31029958333238,593166336,134267022,3522560,0,0,441106290,14270464
52.81530625000232,593182720,134267022,3522560,0,0,441122674,14270464
53.31564508333395,593166336,134267022,3522560,0,0,441106290,14270464
53.81813345833507,834338816,131766810,3522560,0,0,684778982,14270464
54.31875041666717,970719232,134267027,3522560,0,0,818659181,14270464
54.82035845833525,950009856,134267027,3522560,0,0,797949805,14270464
55.325365166667325,912392192,134267027,3522560,0,0,760332141,14270464
55.82802887499929,1162100736,134267027,3522560,0,0,1010040685,14270464
56.33303974999944,593018880,134267027,3522560,0,0,440958829,14270464
56.835289916667534,593035264,134267027,3522560,0,0,440975213,14270464
57.336807708332344,593051648,134267027,3522560,0,0,440991597,14270464
57.841821208334295,593051648,134267027,3522560,0,0,440991597,14270464
58.34327891666908,593051648,134267027,3522560,0,0,440991597,14270464
58.843510041668196,593035264,134267027,3522560,0,0,440975213,14270464
59.34852366666746,593035264,134267027,3522560,0,0,440975213,14270464
