second,timestamp,total,javascript,jit,images,layers,page,other
209,209.48399087500002,750125056,183247745,2326528,0,0,549969023,14581760
210,210.49388595833443,746569728,183247745,2326528,0,0,546413695,14581760
211,211.50391170833245,746569728,183247745,2326528,0,0,546413695,14581760
212,212.008921333334,746323968,183247745,2326528,0,0,546266239,14483456
213,213.0189601250022,746045440,183247745,2326528,0,0,546184319,14286848
214,214.0289921250005,745897984,183247745,2326528,0,0,546004095,14319616
215,215.03903583333522,745848832,183247745,2326528,0,0,546004095,14270464
216,216.04598737500055,1319829504,178665664,2326528,0,0,1124566848,14270464
217,217.05600620833502,1168408576,178665664,2326528,0,0,973145920,14270464
218,218.06118391666678,1391443968,178665664,2326528,0,0,1196181312,14270464
219,219.06690416666606,743014400,178665664,2326528,0,0,547751744,14270464
220,220.0769362083338,743030784,178665664,2326528,0,0,547768128,14270464
221,221.08207758333447,743030784,178665664,2326528,0,0,547768128,14270464
222,222.08809516666588,743030784,178665664,2326528,0,0,547768128,14270464
223,223.094036041668,743030784,178665664,2326528,0,0,547768128,14270464
224,224.1028502500012,743030784,178665664,2326528,0,0,547768128,14270464
225,225.11089745833306,743030784,178665664,2326528,0,0,547768128,14270464
226,226.12028483333415,1312079872,173794099,2326528,0,0,1121688781,14270464
227,227.1303040833336,1167704064,173794099,2326528,0,0,977312973,14270464
228,228.14032491666876,1398046720,173910131,2326528,0,0,1210750861,11059200
